,module_color,kME_in_own_module,kWithin
Gene.415,blue,0.962277012104897,17.621517539579926
Gene.416,darkmagenta,0.8831611158351718,3.87347094893448
Gene.417,black,0.8725374135322165,7.740581269985835
Gene.418,darkmagenta,0.9451327265272123,15.654111876949093
Gene.419,darkmagenta,0.845633623281842,6.341139756259139
Gene.420,grey,0.8532758940073262,0.025197996279069674
Gene.421,blue,0.6870217361986033,2.5400039552987117
Gene.422,black,0.8651146562060048,9.728166334293661
Gene.423,blue,0.9483270233610948,0.7932977713619527
Gene.424,grey,0.9331262483193387,0.009895104657495256
Gene.425,black,0.8288896398218676,0.3470582565500411
Gene.426,darkmagenta,0.7438582296598263,0.8504825646713425
Gene.427,darkmagenta,0.8562437256043579,9.449343451625388
Gene.428,darkgreen,0.9369880954749883,12.56820954724491
Gene.429,blue,0.8691137378362737,12.906612704826312
Gene.430,blue,0.9373536347476091,22.947614984497296
Gene.431,blue,0.7920730268983048,3.4478400428570013
Gene.432,black,0.7821163110254219,1.9509689336994025
Gene.433,darkmagenta,0.6074143423424038,0.6994432654367372
Gene.434,black,0.8086610303279177,0.8901191832522062
Gene.435,black,0.8455985800512366,2.4111199156702887
Gene.436,darkgreen,0.8647661159838322,1.810668415874241
Gene.437,black,0.6693639711732338,0.8113778984479902
Gene.438,grey,-0.9696647821584478,0.23471344766773278
Gene.439,blue,0.7019117066517016,1.8656438496226857
Gene.440,blue,0.8265044972063317,13.826794242705358
Gene.441,black,0.8080879078785863,3.888267309253771
Gene.442,blue,0.33533630082131616,0.11921827155657805
Gene.443,grey,0.20191466118550677,0.08650248934080379
Gene.444,darkgreen,0.7660087102013755,2.581606377600744
Gene.445,grey,-0.06681435104786423,0.0010728299202745265
Gene.446,darkmagenta,0.7082987868643369,2.542587351122155
Gene.447,blue,0.7555459259546421,3.570133940649747
Gene.448,black,0.8273803417166155,1.5536340884401083
Gene.449,grey,-0.42316106869432646,0.0030681969530149487
Gene.450,darkmagenta,0.9389266979597222,22.66984591502058
Gene.451,darkmagenta,0.8941633476693603,7.1537050089574175
Gene.452,blue,0.7323526884930984,19.968331888243977
Gene.453,darkmagenta,0.9236476732399855,2.9521801815344086
Gene.454,black,0.902579294014779,6.651061731322505
Gene.455,darkmagenta,0.9291049150765641,2.696532915910621
Gene.456,blue,0.7488701505323858,11.746383207588423
Gene.457,darkgreen,0.885550753860045,1.651984560242259
Gene.458,darkgreen,0.7308637748681975,0.36926761182346013
Gene.459,darkmagenta,0.8910997532736733,2.515624680401146
Gene.460,darkmagenta,0.8355575201933885,0.8283741450855735
Gene.461,darkmagenta,0.9424776925758827,12.871965525484788
Gene.462,darkgreen,0.9754960075390355,0.6073242157077311
Gene.463,black,0.6184321039026228,0.6971228183224907
Gene.464,black,0.8011874496139914,2.0982208167405094
Gene.465,black,0.8046904720294897,1.3415189164061103
Gene.466,darkmagenta,0.8679035280504435,6.835781481790591
Gene.467,darkmagenta,0.9047320003006596,7.6637257032863
Gene.468,blue,0.9264098514409457,20.233777956869663
Gene.469,darkgreen,0.7980960357338649,8.411883921666993
Gene.470,darkmagenta,0.8164449864550849,6.736769549784495
Gene.471,black,0.7597813188035087,0.7458164994195052
Gene.472,darkgreen,0.9254741073326411,5.11007569851283
Gene.473,black,0.7099789114234129,1.575480166565059
Gene.474,darkmagenta,0.7309651021392584,2.3426498312226514
Gene.475,grey,0.9736447903928762,0.007594079429914455
Gene.476,darkgreen,0.9084039566041276,13.597205155525806
Gene.477,darkmagenta,0.8618153848129456,1.4954696399823462
Gene.478,black,0.8314281671944951,1.349124890362457
Gene.479,darkmagenta,0.5068506006165886,0.6668288036632867
Gene.480,darkmagenta,0.8860724147910352,5.1909601153540885
Gene.481,blue,0.9306785928319614,15.473840816525636
Gene.482,black,0.7994030798945556,13.825002165895343
Gene.483,darkgreen,0.8144230599149425,8.04383988957271
Gene.484,black,0.7119227471957293,3.543395465525383
Gene.485,black,0.653013936331357,3.987675876572681
Gene.486,darkgreen,0.8568557359276344,11.643050113359966
Gene.487,blue,0.9338026526078025,32.59596264780318
Gene.488,blue,0.8584987436367673,25.56400348272607
Gene.489,darkgreen,0.5309350327214679,0.35555943853637023
Gene.490,blue,0.8978450958787569,20.008841952701268
Gene.491,black,0.7785816045078097,5.347435778245501
Gene.492,darkmagenta,0.8811058751939141,14.644892616228601
Gene.493,blue,0.8148879840445789,10.839410128430147
Gene.494,blue,0.9417084262241697,19.713724307599637
Gene.495,grey,0.9602816567978302,0.005034678476283602
Gene.496,black,0.5426034252896919,5.548204349054256
Gene.497,grey,0.19194567049156797,0.008542285234316062
Gene.498,blue,0.728503299617043,20.877432491607372
Gene.499,blue,0.8226590079232263,0.8690471939571192
Gene.500,darkgreen,0.8702019831356602,6.185121239430171
Gene.501,black,0.9104541814798247,10.807295262306004
