,module_color,kME_in_own_module,kWithin
Gene.138,yellow,0.7265140836455799,132.58879570134872
Gene.139,turquoise,0.7820379346736679,168.38116480073958
Gene.140,brown,0.9271800053006641,178.48474001359338
Gene.141,turquoise,0.6194303767723087,160.88580384502117
Gene.142,brown,0.8200454871958036,158.22587570365818
Gene.143,brown,0.8936036058923624,139.63139182597013
Gene.144,turquoise,0.976568073017631,172.17912492652408
Gene.145,brown,0.9344086105346263,156.4423278123548
Gene.146,yellow,0.7921893171419625,134.78027522718278
Gene.147,brown,0.4062143769339952,122.92791651603791
Gene.148,turquoise,0.4194906468048875,123.04689920709372
Gene.149,red,0.7645129098032483,17.127247969074617
Gene.150,turquoise,0.935462776266883,153.6448545021968
Gene.151,yellow,0.9355995315673309,94.28971737219432
Gene.152,blue,0.7804254443985181,145.30008936997723
Gene.153,turquoise,0.9391098372761529,103.31942440699076
Gene.154,turquoise,0.9637472430313003,125.59313471939154
Gene.155,yellow,0.6934578059993552,133.64240589472777
Gene.156,yellow,0.856815874551155,150.15338079483882
Gene.157,yellow,0.6721887889933916,125.19991688831902
Gene.158,yellow,0.8456627733080933,147.1489975597575
Gene.159,yellow,0.9044244424319644,126.53471499185915
Gene.160,yellow,0.6064164246430817,106.21033146583898
Gene.161,brown,0.9674419555855883,146.00017052954985
Gene.162,brown,0.8615009277534749,158.76114188616486
Gene.163,yellow,0.8835648482528715,123.95019360952843
Gene.164,blue,0.9149282299678861,163.01962647649887
Gene.165,blue,0.7581058417539527,148.29943550773163
Gene.166,yellow,0.4857531019082175,112.10243238233383
Gene.167,blue,0.7537306055315799,156.0584984191421
Gene.168,brown,0.9469202321263226,102.64579487176755
Gene.169,brown,0.8567321538466109,102.86911733179114
Gene.170,turquoise,0.9038587912191238,169.48332540648568
Gene.171,blue,0.8481136058262575,139.172688438309
Gene.172,brown,0.26042409319685106,93.85548963730903
Gene.173,turquoise,0.9038786368716615,180.08478487950634
Gene.174,turquoise,0.7772196731021193,173.58202160421308
Gene.175,turquoise,0.9125120903596557,180.0331086849414
Gene.176,blue,0.612593707565752,135.873886534272
Gene.177,brown,0.9638265125672164,113.85310942006214
Gene.178,turquoise,0.895655520873469,158.05158919453413
Gene.179,yellow,0.725748924713372,126.69239287872271
Gene.180,brown,0.9206949430590146,167.40567226107422
Gene.181,blue,0.8106364146209473,122.29739494916645
Gene.182,yellow,0.806692016967827,149.30281997000935
Gene.183,black,0.7308733743236947,9.034554327710355
Gene.184,brown,0.08313816052037937,96.96902982283713
Gene.185,yellow,0.8554354031343139,144.84339336724005
Gene.186,brown,0.9068807299323868,96.84549242216677
Gene.187,turquoise,0.9035079661230829,162.2736777123543
Gene.188,brown,0.6926537505426121,168.70102604624506
Gene.189,brown,0.9139937552433441,177.60025850042373
Gene.190,blue,0.8303774985978207,166.46246080111058
Gene.191,blue,0.9047952370457429,157.59304021027032
Gene.192,blue,0.4900045991672832,110.9911564940259
Gene.193,blue,0.733641192344765,148.16011513181138
Gene.194,brown,0.8924240087739801,145.06766253851782
Gene.195,blue,0.5436632196415077,135.2949914733003
Gene.196,yellow,0.8184126023664522,134.4860048794074
Gene.197,blue,0.7571268436550658,156.67141968297858
Gene.198,yellow,0.6225714109612224,120.81635487504373
Gene.199,brown,0.8740191938749364,172.4467139445348
Gene.200,brown,0.9665313862165087,154.8105702795036
Gene.201,brown,0.6288242515679985,152.10973394735657
Gene.202,blue,0.9319247802393633,165.07489288610168
Gene.203,turquoise,0.9258804544017107,137.05788480376472
Gene.204,turquoise,0.7302762015275488,159.12401369896222
Gene.205,blue,0.8826501432792051,123.59333182199107
Gene.206,yellow,0.8187866701891304,150.12303588012176
Gene.207,yellow,0.815693453732077,142.47787477645576
Gene.208,brown,0.4415642050747719,132.88539754879102
Gene.209,brown,0.6695790212577011,94.33855852147768
Gene.210,blue,0.9370883869740831,168.36537074729637
Gene.211,yellow,0.9461007100119732,157.53926434274638
Gene.212,turquoise,0.8529892731560076,156.9092338270753
Gene.213,brown,0.875008869001951,163.92430458691584
Gene.214,brown,0.8445930488166687,165.6971289376125
Gene.215,black,0.5905962391591725,7.621543418638846
Gene.216,turquoise,0.7435435257427593,168.6343056347306
Gene.217,brown,0.9435953969480821,178.06862350977894
Gene.218,brown,0.7294664740209265,129.2353656872961
Gene.219,yellow,0.5409555067948452,105.24048683903038
Gene.220,turquoise,0.7396629712219717,142.1874956154844
Gene.221,brown,0.8758306565662068,172.03829105387305
Gene.222,yellow,0.6850218365337368,135.37985150962433
Gene.223,yellow,0.9189793758724287,157.8140269423399
Gene.224,brown,0.4172319114514248,128.1126893677886
Gene.225,turquoise,0.9313998728268594,176.2711396833378
Gene.226,blue,0.8713097123199594,160.0499947428964
Gene.227,turquoise,0.8640767384295449,145.69139613030924
Gene.228,blue,0.8206073847173345,149.2037518935018
Gene.229,yellow,0.9124817549446339,152.34853803461908
Gene.230,brown,0.8440439092588872,162.84626010940315
Gene.231,brown,0.8076459058875217,158.6191955257116
Gene.232,yellow,0.603119289155194,121.771021087267
Gene.233,red,0.6480901231531243,15.044029817615591
Gene.234,black,0.7167630461120258,8.782705930092225
Gene.235,blue,0.8455928310979436,156.37542990879717
Gene.236,turquoise,0.8364849828608827,159.49781072527006
Gene.237,brown,0.9777204911426347,125.27910017535109
Gene.238,brown,0.8972765957571225,159.21590130443707
Gene.239,yellow,0.5092561156836283,105.80841085742743
Gene.240,brown,0.9456128811807947,175.71509839622638
Gene.241,brown,0.8316586378318189,157.33063770989313
Gene.242,yellow,0.8119650409272522,134.77899536606807
Gene.243,turquoise,0.87392986213821,147.5316602777013
Gene.244,brown,0.708909381821754,126.99416673188651
Gene.245,turquoise,0.9497621482382105,180.58904165505956
Gene.246,yellow,0.9173288423304962,155.4432613080251
Gene.247,yellow,0.6634673951867289,132.8798792495413
Gene.248,blue,0.852295789349075,153.55785446760177
Gene.249,blue,0.9000259729251496,105.72513268142843
Gene.250,red,0.8146042213670932,18.503611163484422
Gene.251,turquoise,0.9187262685316357,97.26577813601777
Gene.252,yellow,0.6158299833193139,115.79849081746114
Gene.253,yellow,0.8500034723000248,116.97405447806926
Gene.254,yellow,0.8435404224526462,154.125966196959
Gene.255,blue,0.8819236199813073,152.511012257087
